date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:28	4073/4073	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:27%20GMT	https://forums.ficsit.app/u/bobmaster_1000	/home/vilsol/forum-backup/fbackup/u/bobmaster_1000.html	(from https://forums.ficsit.app/t/banned-on-discord/1020)
17:35:28	3381/3381	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:28%20GMT	https://forums.ficsit.app/t/this-is-funny/610.rss	/home/vilsol/forum-backup/fbackup/t/this-is-funny/610.rss	(from https://forums.ficsit.app/t/this-is-funny/610)
17:35:30	4081/4081	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:29%20GMT	https://forums.ficsit.app/u/Xiarno_Giveaway	/home/vilsol/forum-backup/fbackup/u/Xiarno_Giveaway.html	(from https://forums.ficsit.app/t/this-is-funny/610)
17:35:30	2440/2440	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:30%20GMT	https://forums.ficsit.app/t/link-to-online-calculator-and-map/442.rss	/home/vilsol/forum-backup/fbackup/t/link-to-online-calculator-and-map/442.rss	(from https://forums.ficsit.app/t/link-to-online-calculator-and-map/442)
17:35:31	955/955	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Apr%202020%2020:37:51%20GMT	https://forums.ficsit.app/uploads/default/original/1X/4a2143d935509457cb3221a91c6576dd7469a4b3.png	/home/vilsol/forum-backup/fbackup/uploads/default/original/1X/4a2143d935509457cb3221a91c6576dd7469a4b3.png	(from https://forums.ficsit.app/t/link-to-online-calculator-and-map/442)
17:35:32	10267/10267	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:35:32%20GMT	https://forums.ficsit.app/t/for-the-badges-and-random-and-you-can-spam-here/64.rss	/home/vilsol/forum-backup/fbackup/t/for-the-badges-and-random-and-you-can-spam-here/64.rss	(from https://forums.ficsit.app/t/for-the-badges-and-random-and-you-can-spam-here/64)
17:35:33	1906/1906	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Nov%202019%2003:30:00%20GMT	https://forums.ficsit.app/user_avatar/forums.ficsit.app/supercoder7979/40/6_2.png	/home/vilsol/forum-backup/fbackup/user_avatar/forums.ficsit.app/supercoder7979/40/6_2.jpg	(from https://forums.ficsit.app/t/for-the-badges-and-random-and-you-can-spam-here/64)
17:35:35	4601/4601	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:34%20GMT	https://forums.ficsit.app/u/discobot	/home/vilsol/forum-backup/fbackup/u/discobot.html	(from https://forums.ficsit.app/t/for-the-badges-and-random-and-you-can-spam-here/64)
17:35:36	4092/4092	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:35:35%20GMT	https://forums.ficsit.app/u/Aiden_Gursky	/home/vilsol/forum-backup/fbackup/u/Aiden_Gursky.html	(from https://forums.ficsit.app/t/for-the-badges-and-random-and-you-can-spam-here/64)
17:35:36	10605/10605	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2014:35:36%20GMT	https://forums.ficsit.app/u/1	/home/vilsol/forum-backup/fbackup/u/1	(from https://forums.ficsit.app/about)
